"All Ages","Age Class","Age","Population on January 1st 2007"
"All Ages","Less than 5 years","Less than 1 year",121718
"All Ages","Less than 5 years","1 year",119795
"All Ages","Less than 5 years","2 years",118426
"All Ages","Less than 5 years","3 years",115497
"All Ages","Less than 5 years","4 years",114720
"All Ages","Less than 5 years",,590156
"All Ages","From 5 to 9 years","5 years",117067
"All Ages","From 5 to 9 years","6 years",118696
"All Ages","From 5 to 9 years","7 years",117411
"All Ages","From 5 to 9 years","8 years",118410
"All Ages","From 5 to 9 years","9 years",120276
"All Ages","From 5 to 9 years",,591860
"All Ages","From 10 to 14 years","10 years",120530
"All Ages","From 10 to 14 years","11 years",119564
"All Ages","From 10 to 14 years","12 years",120635
"All Ages","From 10 to 14 years","13 years",125230
"All Ages","From 10 to 14 years","14 years",129754
"All Ages","From 10 to 14 years",,615713
"All Ages","From 15 to 19 years","15 years",131590
"All Ages","From 15 to 19 years","16 years",130406
"All Ages","From 15 to 19 years","17 years",128061
"All Ages","From 15 to 19 years","18 years",127594
"All Ages","From 15 to 19 years","19 years",125749
"All Ages","From 15 to 19 years",,643400
"All Ages","From 20 to 24 years","20 years",126481
"All Ages","From 20 to 24 years","21 years",124131
"All Ages","From 20 to 24 years","22 years",126329
"All Ages","From 20 to 24 years","23 years",128238
"All Ages","From 20 to 24 years","24 years",131953
"All Ages","From 20 to 24 years",,637132
"All Ages","From 25 to 29 years","25 years",135668
"All Ages","From 25 to 29 years","26 years",136899
"All Ages","From 25 to 29 years","27 years",136289
"All Ages","From 25 to 29 years","28 years",135193
"All Ages","From 25 to 29 years","29 years",134314
"All Ages","From 25 to 29 years",,678363
"All Ages","From 30 to 34 years","30 years",133529
"All Ages","From 30 to 34 years","31 years",132009
"All Ages","From 30 to 34 years","32 years",136806
"All Ages","From 30 to 34 years","33 years",141763
"All Ages","From 30 to 34 years","34 years",147274
"All Ages","From 30 to 34 years",,691381
"All Ages","From 35 to 39 years","35 years",151465
"All Ages","From 35 to 39 years","36 years",153140
"All Ages","From 35 to 39 years","37 years",152332
"All Ages","From 35 to 39 years","38 years",152104
"All Ages","From 35 to 39 years","39 years",153956
"All Ages","From 35 to 39 years",,762997
"All Ages","From 40 to 44 years","40 years",158802
"All Ages","From 40 to 44 years","41 years",162872
"All Ages","From 40 to 44 years","42 years",168005
"All Ages","From 40 to 44 years","43 years",165246
"All Ages","From 40 to 44 years","44 years",161831
"All Ages","From 40 to 44 years",,816756
"All Ages","From 45 to 49 years","45 years",162098
"All Ages","From 45 to 49 years","46 years",159919
"All Ages","From 45 to 49 years","47 years",160630
"All Ages","From 45 to 49 years","48 years",156922
"All Ages","From 45 to 49 years","49 years",153601
"All Ages","From 45 to 49 years",,793170
"All Ages","From 50 to 54 years","50 years",150843
"All Ages","From 50 to 54 years","51 years",148660
"All Ages","From 50 to 54 years","52 years",145653
"All Ages","From 50 to 54 years","53 years",141968
"All Ages","From 50 to 54 years","54 years",140728
"All Ages","From 50 to 54 years",,727852
"All Ages","From 55 to 59 years","55 years",134950
"All Ages","From 55 to 59 years","56 years",135309
"All Ages","From 55 to 59 years","57 years",134021
"All Ages","From 55 to 59 years","58 years",135186
"All Ages","From 55 to 59 years","59 years",133339
"All Ages","From 55 to 59 years",,672805
"All Ages","From 60 to 64 years","60 years",133033
"All Ages","From 60 to 64 years","61 years",112049
"All Ages","From 60 to 64 years","62 years",111107
"All Ages","From 60 to 64 years","63 years",104865
"All Ages","From 60 to 64 years","64 years",91833
"All Ages","From 60 to 64 years",,552887
"All Ages","From 65 to 69 years","65 years",83476
"All Ages","From 65 to 69 years","66 years",92583
"All Ages","From 65 to 69 years","67 years",99546
"All Ages","From 65 to 69 years","68 years",100390
"All Ages","From 65 to 69 years","69 years",95774
"All Ages","From 65 to 69 years",,471769
"All Ages","From 70 to 74 years","70 years",92563
"All Ages","From 70 to 74 years","71 years",90691
"All Ages","From 70 to 74 years","72 years",91139
"All Ages","From 70 to 74 years","73 years",89531
"All Ages","From 70 to 74 years","74 years",91210
"All Ages","From 70 to 74 years",,455134
"All Ages","From 75 to 79 years","75 years",89332
"All Ages","From 75 to 79 years","76 years",86949
"All Ages","From 75 to 79 years","77 years",78757
"All Ages","From 75 to 79 years","78 years",74757
"All Ages","From 75 to 79 years","79 years",69725
"All Ages","From 75 to 79 years",,399520
"All Ages","From 80 to 84 years","80 years",66407
"All Ages","From 80 to 84 years","81 years",63301
"All Ages","From 80 to 84 years","82 years",58200
"All Ages","From 80 to 84 years","83 years",53457
"All Ages","From 80 to 84 years","84 years",47599
"All Ages","From 80 to 84 years",,288964
"All Ages","From 85 to 89 years","85 years",43154
"All Ages","From 85 to 89 years","86 years",37679
"All Ages","From 85 to 89 years","87 years",24848
"All Ages","From 85 to 89 years","88 years",14954
"All Ages","From 85 to 89 years","89 years",12433
"All Ages","From 85 to 89 years",,133068
"All Ages","From 90 to 94 years","90 years",11668
"All Ages","From 90 to 94 years","91 years",11580
"All Ages","From 90 to 94 years","92 years",10843
"All Ages","From 90 to 94 years","93 years",8262
"All Ages","From 90 to 94 years","94 years",6242
"All Ages","From 90 to 94 years",,48595
"All Ages","From 95 to 99 years","95 years",4243
"All Ages","From 95 to 99 years","96 years",3076
"All Ages","From 95 to 99 years","97 years",2039
"All Ages","From 95 to 99 years","98 years",1414
"All Ages","From 95 to 99 years","99 years",902
"All Ages","From 95 to 99 years",,11674
"All Ages","100 years and more","100 years and more",1338
"All Ages","100 years and more",,1338
"All Ages",,,10584534
