hh_id,country,hh_size
HH2000109,Belgium,2
HH2000110,Belgium,2
HH2000111,Belgium,2
HH2000209,Belgium,3
HH2000210,Belgium,3
HH2000211,Belgium,3
HH2000309,Belgium,1
HH2000310,Belgium,1
HH2000311,Belgium,1
HH2000409,Belgium,2
HH2000410,Belgium,2
HH2000411,Belgium,2
HH2000509,Belgium,2
HH2000510,Belgium,2
HH2000511,Belgium,2
HH2000609,Belgium,2
HH2000611,Belgium,2
HH2000709,Belgium,2
HH2000710,Belgium,2
HH2000809,Belgium,2
HH2000810,Belgium,2
HH2000909,Belgium,1
HH2000910,Belgium,1
HH2001009,Belgium,2
HH2001010,Belgium,2
HH2001011,Belgium,2
HH2001109,Belgium,1
HH2001110,Belgium,1
HH2001111,Belgium,1
HH2001209,Belgium,2
HH2001210,Belgium,2
HH2001211,Belgium,2
HH2001309,Belgium,3
HH2001310,Belgium,3
HH2001311,Belgium,3
HH2001409,Belgium,2
HH2001509,Belgium,2
HH2001609,Belgium,1
HH2001610,Belgium,1
HH2001611,Belgium,1
HH2001709,Belgium,2
HH2001710,Belgium,2
HH2001711,Belgium,2
HH2001809,Belgium,2
HH2001810,Belgium,2
HH2001811,Belgium,2
HH2002009,Belgium,2
HH2002609,Belgium,3
HH2002610,Belgium,3
HH2002611,Belgium,3
HH2002809,Belgium,1
HH2002810,Belgium,1
HH2002909,Belgium,1
HH2002910,Belgium,1
HH2002911,Belgium,1
HH2003009,Belgium,2
HH2003010,Belgium,2
HH2003011,Belgium,2
HH2003109,Belgium,2
HH2003110,Belgium,2
HH2003111,Belgium,2
HH2003209,Belgium,1
HH2003210,Belgium,1
HH2003211,Belgium,1
HH2003309,Belgium,3
HH2003409,Belgium,1
HH2003410,Belgium,1
HH2003411,Belgium,1
HH2003509,Belgium,2
HH2003510,Belgium,2
HH2003511,Belgium,2
HH2003609,Belgium,2
HH2003610,Belgium,2
HH2003709,Belgium,3
HH2003710,Belgium,3
HH2003711,Belgium,3
HH2003809,Belgium,1
HH2003810,Belgium,1
HH2003811,Belgium,1
HH2003909,Belgium,2
