"part_id","hh_id","part_age","part_gender"
2000109,"HH2000109",57,"F"
2000209,"HH2000209",60,"M"
2000309,"HH2000309",59,"M"
2000409,"HH2000409",57,"F"
2000509,"HH2000509",60,"F"
2000609,"HH2000609",56,"F"
2000709,"HH2000709",81,"M"
2000809,"HH2000809",55,"F"
2000909,"HH2000909",61,"M"
2001009,"HH2001009",61,"M"
2001109,"HH2001109",60,"M"
2001209,"HH2001209",58,"F"
2001309,"HH2001309",46,"M"
2001409,"HH2001409",69,"F"
2001509,"HH2001509",48,"F"
2001609,"HH2001609",58,"F"
2001709,"HH2001709",66,"F"
2001809,"HH2001809",72,"F"
2002009,"HH2002009",60,"M"
2002609,"HH2002609",61,"M"
2002809,"HH2002809",62,"M"
2002909,"HH2002909",67,"F"
2003009,"HH2003009",62,"F"
2003109,"HH2003109",64,"M"
2003209,"HH2003209",58,"F"
2003309,"HH2003309",52,"M"
2003409,"HH2003409",65,"M"
2003509,"HH2003509",60,"F"
2003609,"HH2003609",65,"F"
2003709,"HH2003709",62,"M"
2003809,"HH2003809",71,"M"
2003909,"HH2003909",68,"M"
2004009,"HH2004009",62,"F"
2004109,"HH2004109",69,"M"
2004209,"HH2004209",73,"F"
2004309,"HH2004309",58,"F"
2004409,"HH2004409",70,"M"
2004509,"HH2004509",59,"F"
2004609,"HH2004609",58,"F"
2004709,"HH2004709",63,"M"
2004809,"HH2004809",60,"M"
2004909,"HH2004909",67,"M"
2005009,"HH2005009",64,"M"
2005109,"HH2005109",63,"F"
2005309,"HH2005309",72,"F"
2005409,"HH2005409",63,"F"
2005509,"HH2005509",67,"M"
2005609,"HH2005609",74,"F"
2005809,"HH2005809",60,"M"
2005909,"HH2005909",66,"M"
2006009,"HH2006009",64,"F"
2006109,"HH2006109",72,"M"
2006309,"HH2006309",61,"F"
2006409,"HH2006409",70,"M"
2006509,"HH2006509",72,"M"
2006609,"HH2006609",73,"M"
2006809,"HH2006809",64,"M"
2006909,"HH2006909",63,"F"
2007009,"HH2007009",76,"M"
2007109,"HH2007109",69,"M"
2007309,"HH2007309",57,"F"
2007409,"HH2007409",60,"M"
2007609,"HH2007609",66,"F"
2007709,"HH2007709",66,"M"
2007909,"HH2007909",68,"M"
2008009,"HH2008009",76,"F"
2008109,"HH2008109",70,"M"
2008209,"HH2008209",76,"M"
2008309,"HH2008309",56,"M"
2008509,"HH2008509",66,"F"
2008609,"HH2008609",62,"F"
2008709,"HH2008709",70,"M"
2008809,"HH2008809",80,"M"
2008909,"HH2008909",28,"F"
2009009,"HH2009009",68,"M"
2009109,"HH2009109",69,"M"
2009209,"HH2009209",70,"M"
2009309,"HH2009309",71,"M"
2009409,"HH2009409",68,"M"
2009509,"HH2009509",60,"M"
2009609,"HH2009609",69,"M"
2009709,"HH2009709",69,"M"
2009809,"HH2009809",59,"F"
2009909,"HH2009909",58,"M"
2010009,"HH2010009",65,"M"
2010109,"HH2010109",74,"M"
2010209,"HH2010209",64,"F"
2010309,"HH2010309",64,"M"
2010409,"HH2010409",77,"M"
2010509,"HH2010509",63,"M"
2010609,"HH2010609",68,"F"
2010709,"HH2010709",68,"M"
2010809,"HH2010809",65,"F"
2010909,"HH2010909",68,"M"
2011009,"HH2011009",62,"M"
2011109,"HH2011109",71,"F"
2011209,"HH2011209",64,"F"
2011309,"HH2011309",61,"M"
2011409,"HH2011409",65,"M"
2011509,"HH2011509",64,"F"
2011609,"HH2011609",72,"F"
2011909,"HH2011909",65,"M"
2012009,"HH2012009",71,"F"
2012109,"HH2012109",77,"F"
2012309,"HH2012309",67,"M"
2012409,"HH2012409",65,"M"
2012509,"HH2012509",68,"F"
2012609,"HH2012609",72,"F"
2012709,"HH2012709",60,"F"
2012809,"HH2012809",64,"F"
2012909,"HH2012909",38,"M"
2013009,"HH2013009",76,"M"
2013109,"HH2013109",55,"M"
2013209,"HH2013209",68,"M"
2013309,"HH2013309",72,"F"
2013409,"HH2013409",73,"M"
2013509,"HH2013509",59,"F"
2013609,"HH2013609",55,"F"
2013709,"HH2013709",50,"M"
2013809,"HH2013809",65,"M"
2013909,"HH2013909",66,"F"
2014009,"HH2014009",67,"F"
2014109,"HH2014109",68,"F"
2014209,"HH2014209",66,"M"
2014309,"HH2014309",69,"M"
2014409,"HH2014409",62,"F"
2014509,"HH2014509",59,"M"
2014709,"HH2014709",73,"M"
2014809,"HH2014809",58,"M"
2014909,"HH2014909",61,"F"
2015009,"HH2015009",60,"M"
2015109,"HH2015109",69,"M"
2015209,"HH2015209",79,"F"
2015409,"HH2015409",64,"M"
2015509,"HH2015509",58,"F"
2015609,"HH2015609",72,"M"
2015809,"HH2015809",61,"F"
2015909,"HH2015909",73,"M"
2016009,"HH2016009",57,"M"
2016109,"HH2016109",63,"F"
2016209,"HH2016209",68,"M"
2016309,"HH2016309",62,"F"
2016409,"HH2016409",68,"M"
2016509,"HH2016509",67,"F"
2016609,"HH2016609",66,"F"
2016809,"HH2016809",68,"M"
2016909,"HH2016909",56,"F"
2017009,"HH2017009",62,"M"
2017109,"HH2017109",68,"M"
2017209,"HH2017209",77,"F"
2017409,"HH2017409",74,"M"
2017509,"HH2017509",63,"M"
2017609,"HH2017609",77,"M"
2017709,"HH2017709",74,"F"
2017809,"HH2017809",73,"F"
2017909,"HH2017909",62,"M"
2018009,"HH2018009",65,"M"
2018109,"HH2018109",61,"M"
2018309,"HH2018309",68,"M"
2018409,"HH2018409",71,"M"
2018509,"HH2018509",69,"F"
2018609,"HH2018609",65,"M"
2018709,"HH2018709",58,"F"
2018809,"HH2018809",64,"F"
2018909,"HH2018909",64,"M"
2019009,"HH2019009",65,"M"
2019109,"HH2019109",72,"M"
2019309,"HH2019309",65,"F"
2019409,"HH2019409",68,"M"
2019509,"HH2019509",56,"F"
2019609,"HH2019609",79,"M"
2019709,"HH2019709",35,"M"
2019809,"HH2019809",62,"M"
2019909,"HH2019909",61,"F"
2020209,"HH2020209",65,"M"
2020309,"HH2020309",79,"M"
2020409,"HH2020409",74,"M"
2020509,"HH2020509",63,"M"
2020709,"HH2020709",66,"F"
2020809,"HH2020809",66,"M"
2020909,"HH2020909",84,"M"
2021009,"HH2021009",74,"F"
2021109,"HH2021109",73,"F"
2021209,"HH2021209",67,"M"
2021309,"HH2021309",62,"F"
2021409,"HH2021409",74,"M"
2021509,"HH2021509",62,"M"
2021609,"HH2021609",66,"F"
2021709,"HH2021709",68,"F"
2021809,"HH2021809",74,"F"
2021909,"HH2021909",60,"M"
2022009,"HH2022009",62,"M"
2022109,"HH2022109",67,"M"
2022209,"HH2022209",68,"M"
2022309,"HH2022309",64,"M"
2022509,"HH2022509",63,"M"
2022609,"HH2022609",69,"F"
2022709,"HH2022709",67,"M"
2022809,"HH2022809",67,"M"
2022909,"HH2022909",57,"M"
2023009,"HH2023009",68,"M"
2023109,"HH2023109",66,"M"
2023309,"HH2023309",58,"F"
2023409,"HH2023409",70,"M"
2023509,"HH2023509",64,"F"
