hh_id,country,hh_size
HH2000112,Belgium,2
HH2000113,Belgium,2
HH2000114,Belgium,2
HH2000115,Belgium,2
HH2000116,Belgium,2
HH2000118,Belgium,2
HH2000119,Belgium,2
HH2000120,Belgium,2
HH2000121,Belgium,2
HH2000122,Belgium,2
HH2000123,Belgium,2
HH2000124,Belgium,2
HH2000125,Belgium,2
HH2000126,Belgium,2
HH2000127,Belgium,2
HH2000128,Belgium,2
HH2000130,Belgium,2
HH2000131,Belgium,2
HH2000132,Belgium,2
HH2000133,Belgium,2
HH2000134,Belgium,2
HH2000135,Belgium,2
HH2000136,Belgium,2
HH2000138,Belgium,2
HH2000139,Belgium,2
HH2000140,Belgium,2
HH2000141,Belgium,2
HH2000214,Belgium,3
HH2000216,Belgium,3
HH2000218,Belgium,3
HH2000219,Belgium,3
HH2000220,Belgium,3
HH2000221,Belgium,3
HH2000222,Belgium,3
HH2000223,Belgium,3
HH2000224,Belgium,3
HH2000226,Belgium,3
HH2000228,Belgium,3
HH2000231,Belgium,3
HH2000233,Belgium,3
HH2000234,Belgium,3
HH2000235,Belgium,3
HH2000237,Belgium,3
HH2000238,Belgium,3
HH2000239,Belgium,3
HH2000240,Belgium,3
HH2000241,Belgium,3
HH2000312,Belgium,1
HH2000313,Belgium,1
HH2000314,Belgium,1
HH2000315,Belgium,1
HH2000320,Belgium,1
HH2000321,Belgium,1
HH2000322,Belgium,1
HH2000323,Belgium,1
HH2000324,Belgium,1
HH2000325,Belgium,1
HH2000330,Belgium,1
HH2000331,Belgium,1
HH2000332,Belgium,1
HH2000333,Belgium,1
HH2000334,Belgium,1
HH2000335,Belgium,1
HH2000336,Belgium,1
HH2000337,Belgium,1
HH2000338,Belgium,1
HH2000339,Belgium,1
HH2000340,Belgium,1
HH2000341,Belgium,1
HH2000342,Belgium,1
HH2000343,Belgium,1
HH2000412,Belgium,2
HH2000418,Belgium,2
HH2000419,Belgium,2
HH2000420,Belgium,2
HH2000421,Belgium,2
HH2000422,Belgium,2
HH2000423,Belgium,2
HH2000424,Belgium,2
HH2000426,Belgium,2
HH2000427,Belgium,2
HH2000428,Belgium,2
HH2000430,Belgium,2
HH2000431,Belgium,2
HH2000432,Belgium,2
HH2000435,Belgium,2
HH2000436,Belgium,2
HH2000437,Belgium,2
HH2000512,Belgium,2
HH2000513,Belgium,2
HH2000515,Belgium,2
HH2000517,Belgium,2
HH2000518,Belgium,2
HH2000519,Belgium,2
HH2000520,Belgium,2
HH2000521,Belgium,2
HH2000522,Belgium,2
HH2000523,Belgium,2
HH2000614,Belgium,2
HH2000615,Belgium,2
HH2000718,Belgium,2
HH2000721,Belgium,2
