"part_id","hh_id","part_age","part_gender"
2000112,"HH2000112",57,"F"
2000312,"HH2000312",59,"M"
2000412,"HH2000412",57,"F"
2000512,"HH2000512",60,"F"
2000912,"HH2000912",37,"F"
2001312,"HH2001312",46,"M"
2001712,"HH2001712",67,"F"
2001812,"HH2001812",72,"F"
2002312,"HH2002312",8,NA
2002612,"HH2002612",61,"M"
2002812,"HH2002812",62,"M"
2002912,"HH2002912",67,"F"
2003012,"HH2003012",62,"F"
2003112,"HH2003112",64,"M"
2003412,"HH2003412",65,"M"
2003512,"HH2003512",61,"F"
2003712,"HH2003712",62,"M"
2003812,"HH2003812",71,"M"
2004012,"HH2004012",62,"F"
2004112,"HH2004112",69,"M"
2004512,"HH2004512",59,"F"
2004712,"HH2004712",63,"M"
2004912,"HH2004912",67,"M"
2005012,"HH2005012",64,"M"
2005312,"HH2005312",72,"F"
2005512,"HH2005512",67,"M"
2005612,"HH2005612",74,"F"
2005712,"HH2005712",8,NA
2005812,"HH2005812",60,"M"
2006212,"HH2006212",2,NA
2006512,"HH2006512",72,"M"
2006912,"HH2006912",63,"F"
2007012,"HH2007012",76,"M"
2007212,"HH2007212",8,NA
2007312,"HH2007312",57,"F"
2007412,"HH2007412",60,"M"
2007512,"HH2007512",8,NA
2007612,"HH2007612",66,"F"
2007712,"HH2007712",66,"M"
2007912,"HH2007912",68,"M"
2008012,"HH2008012",76,"F"
2008112,"HH2008112",70,"M"
2008212,"HH2008212",76,"M"
2008312,"HH2008312",56,"M"
2008412,"HH2008412",8,NA
2008512,"HH2008512",66,"F"
2008712,"HH2008712",70,"M"
2008912,"HH2008912",28,"F"
2009112,"HH2009112",69,"M"
2009212,"HH2009212",70,"M"
2009312,"HH2009312",71,"M"
2009612,"HH2009612",69,"M"
2009712,"HH2009712",69,"M"
2009912,"HH2009912",58,"M"
2010012,"HH2010012",65,"M"
2010312,"HH2010312",64,"M"
2010512,"HH2010512",63,"M"
2010612,"HH2010612",68,"F"
2010712,"HH2010712",68,"M"
2010812,"HH2010812",65,"F"
2010912,"HH2010912",68,"M"
2011012,"HH2011012",62,"F"
2011112,"HH2011112",71,"F"
2011312,"HH2011312",61,"M"
2011412,"HH2011412",65,"M"
2011512,"HH2011512",64,"F"
2011612,"HH2011612",72,"F"
2011712,"HH2011712",13,NA
2011812,"HH2011812",13,NA
2011912,"HH2011912",65,"M"
2012012,"HH2012012",72,"F"
2012312,"HH2012312",67,"M"
2012412,"HH2012412",66,"M"
2012512,"HH2012512",68,"F"
2012612,"HH2012612",72,"F"
2012712,"HH2012712",60,"F"
2012912,"HH2012912",38,"M"
2013012,"HH2013012",76,"M"
2013112,"HH2013112",55,"M"
2013212,"HH2013212",68,"M"
2013312,"HH2013312",72,"F"
2013412,"HH2013412",74,"M"
2013612,"HH2013612",55,"F"
2013712,"HH2013712",50,"M"
2013812,"HH2013812",65,"M"
2014112,"HH2014112",68,"F"
2014212,"HH2014212",66,"M"
2014312,"HH2014312",69,"M"
2014412,"HH2014412",62,"F"
2014512,"HH2014512",59,"M"
2014812,"HH2014812",58,"M"
2014912,"HH2014912",61,"F"
2015112,"HH2015112",69,"M"
2015212,"HH2015212",79,"F"
2015312,"HH2015312",2,NA
2015412,"HH2015412",64,"M"
2015612,"HH2015612",72,"M"
2015712,"HH2015712",2,NA
2015812,"HH2015812",61,"F"
2016012,"HH2016012",57,"M"
2016112,"HH2016112",63,"F"
2016212,"HH2016212",68,"M"
2016312,"HH2016312",62,"F"
2016412,"HH2016412",68,"M"
2016712,"HH2016712",8,NA
2016812,"HH2016812",68,"M"
2016912,"HH2016912",56,"F"
2017012,"HH2017012",62,"M"
2017112,"HH2017112",68,"M"
2017212,"HH2017212",77,"F"
2017412,"HH2017412",75,"M"
2017512,"HH2017512",63,"M"
2017612,"HH2017612",77,"M"
2017712,"HH2017712",75,"F"
2018112,"HH2018112",61,"M"
2018312,"HH2018312",68,"M"
2018412,"HH2018412",71,"M"
2018512,"HH2018512",69,"F"
2018712,"HH2018712",58,"F"
2018812,"HH2018812",64,"F"
2018912,"HH2018912",64,"M"
2019012,"HH2019012",65,"M"
2019112,"HH2019112",72,"M"
2019312,"HH2019312",65,"F"
2019412,"HH2019412",68,"M"
2019612,"HH2019612",79,"M"
2019812,"HH2019812",63,"M"
2020112,"HH2020112",8,NA
2020212,"HH2020212",65,"M"
2020312,"HH2020312",79,"M"
2020412,"HH2020412",74,"M"
2020712,"HH2020712",66,"F"
2020812,"HH2020812",66,"M"
2021012,"HH2021012",74,"F"
2021112,"HH2021112",73,"F"
2021312,"HH2021312",62,"F"
2021512,"HH2021512",62,"M"
2021812,"HH2021812",74,"F"
2022512,"HH2022512",63,"M"
2022612,"HH2022612",69,"F"
2022912,"HH2022912",57,"M"
2023012,"HH2023012",68,"M"
2023312,"HH2023312",58,"F"
2023412,"HH2023412",70,"M"
2023512,"HH2023512",64,"F"
2023612,"HH2023612",66,"M"
2023812,"HH2023812",73,"F"
2023912,"HH2023912",61,"M"
2024112,"HH2024112",77,"M"
2024212,"HH2024212",61,"F"
2024312,"HH2024312",67,"F"
2024412,"HH2024412",67,"M"
2024612,"HH2024612",77,"M"
2024812,"HH2024812",70,"M"
2024912,"HH2024912",70,"M"
2025012,"HH2025012",64,"M"
2025112,"HH2025112",73,"M"
2025212,"HH2025212",59,"M"
2025412,"HH2025412",60,"M"
2025512,"HH2025512",56,"M"
2025712,"HH2025712",70,"F"
2025812,"HH2025812",54,"F"
2026312,"HH2026312",68,"M"
2026412,"HH2026412",63,"M"
2026912,"HH2026912",59,"M"
2027012,"HH2027012",64,"M"
2027112,"HH2027112",69,"M"
2027412,"HH2027412",65,"M"
2027512,"HH2027512",55,"M"
2027812,"HH2027812",65,"M"
2027912,"HH2027912",8,NA
2028112,"HH2028112",71,"M"
2028312,"HH2028312",64,"M"
2028612,"HH2028612",62,"F"
2029012,"HH2029012",59,"M"
2029112,"HH2029112",74,"M"
2029412,"HH2029412",70,"F"
2029512,"HH2029512",66,"M"
2029612,"HH2029612",66,"M"
2029812,"HH2029812",75,"M"
2030112,"HH2030112",58,"M"
2030312,"HH2030312",8,NA
2030412,"HH2030412",70,"M"
2030512,"HH2030512",13,NA
2030612,"HH2030612",40,"M"
2030712,"HH2030712",65,"F"
2030812,"HH2030812",75,"M"
2031012,"HH2031012",66,"F"
2031312,"HH2031312",61,"F"
2031412,"HH2031412",65,"F"
2031612,"HH2031612",68,"M"
2031912,"HH2031912",61,"F"
2032012,"HH2032012",69,"F"
2032312,"HH2032312",62,"M"
2032412,"HH2032412",73,"M"
2032512,"HH2032512",71,"F"
2032612,"HH2032612",66,"M"
2032712,"HH2032712",67,"M"
2032912,"HH2032912",2,NA
2033012,"HH2033012",52,"M"
2033112,"HH2033112",62,"F"
2033212,"HH2033212",73,"M"
2033412,"HH2033412",67,"M"
2033512,"HH2033512",71,"M"
2033712,"HH2033712",74,"M"
2033812,"HH2033812",69,"M"
2033912,"HH2033912",60,"F"
2034012,"HH2034012",64,"M"
2034112,"HH2034112",70,"F"
2034212,"HH2034212",57,"F"
2034312,"HH2034312",77,"M"
2034412,"HH2034412",72,"F"
2034512,"HH2034512",13,NA
2034612,"HH2034612",62,"F"
2034712,"HH2034712",69,"F"
2034812,"HH2034812",55,"F"
2035012,"HH2035012",61,"F"
2035112,"HH2035112",70,"M"
2035512,"HH2035512",59,"M"
2035812,"HH2035812",66,"M"
2035912,"HH2035912",77,"M"
2036012,"HH2036012",61,"M"
2036112,"HH2036112",67,"M"
2036212,"HH2036212",59,"F"
2036512,"HH2036512",63,"F"
2036712,"HH2036712",57,"M"
2036812,"HH2036812",70,"M"
2037012,"HH2037012",8,NA
2037112,"HH2037112",77,"F"
2037312,"HH2037312",55,"M"
2037712,"HH2037712",66,"F"
2037912,"HH2037912",68,"M"
2038012,"HH2038012",67,"F"
2038212,"HH2038212",69,"M"
2038312,"HH2038312",67,"M"
2038412,"HH2038412",67,"M"
2038512,"HH2038512",69,"M"
2038612,"HH2038612",8,NA
2038712,"HH2038712",60,"M"
2039312,"HH2039312",64,"M"
2039412,"HH2039412",63,"F"
2039512,"HH2039512",67,"F"
2039612,"HH2039612",61,"M"
2039912,"HH2039912",57,"F"
2040012,"HH2040012",58,"M"
2040212,"HH2040212",56,"F"
2040312,"HH2040312",50,"M"
2040512,"HH2040512",2,NA
2040612,"HH2040612",60,"F"
2040912,"HH2040912",66,"M"
2041112,"HH2041112",71,"F"
2041212,"HH2041212",8,NA
2041312,"HH2041312",61,"M"
2041512,"HH2041512",71,"M"
2041612,"HH2041612",64,"M"
2041712,"HH2041712",16,NA
2041912,"HH2041912",71,"M"
2042112,"HH2042112",8,NA
2042212,"HH2042212",60,"M"
2042312,"HH2042312",67,"M"
2042712,"HH2042712",2,NA
2042912,"HH2042912",63,"F"
2043312,"HH2043312",67,"F"
2043512,"HH2043512",59,"F"
2043812,"HH2043812",68,"M"
2043912,"HH2043912",8,NA
2044112,"HH2044112",57,"M"
2044212,"HH2044212",70,"M"
2044312,"HH2044312",8,NA
2044412,"HH2044412",66,"F"
2044512,"HH2044512",64,"M"
2044912,"HH2044912",72,"M"
2045412,"HH2045412",67,"M"
2045512,"HH2045512",58,"M"
2045812,"HH2045812",8,NA
2045912,"HH2045912",2,NA
2046012,"HH2046012",56,"M"
2046112,"HH2046112",64,"F"
2046212,"HH2046212",68,"F"
2046312,"HH2046312",63,"F"
2046612,"HH2046612",58,"F"
2046912,"HH2046912",62,"M"
2047012,"HH2047012",2,NA
2047412,"HH2047412",69,"M"
2047512,"HH2047512",65,"M"
2047612,"HH2047612",70,"F"
2047712,"HH2047712",8,NA
2047912,"HH2047912",68,"M"
2048012,"HH2048012",66,"M"
2048312,"HH2048312",45,"M"
2048412,"HH2048412",61,"M"
2048612,"HH2048612",63,"F"
2048712,"HH2048712",63,"M"
2048812,"HH2048812",69,"M"
2048912,"HH2048912",73,"F"
2049012,"HH2049012",64,"M"
2049412,"HH2049412",13,NA
2049712,"HH2049712",13,NA
2049912,"HH2049912",16,NA
2050512,"HH2050512",8,NA
2050612,"HH2050612",8,NA
2051012,"HH2051012",46,"M"
2051112,"HH2051112",2,NA
2051212,"HH2051212",16,NA
2051312,"HH2051312",55,"M"
2051412,"HH2051412",8,NA
2051612,"HH2051612",16,NA
2051812,"HH2051812",59,"M"
2051912,"HH2051912",8,NA
2052012,"HH2052012",69,"M"
2052112,"HH2052112",16,NA
2052412,"HH2052412",NA,NA
2052512,"HH2052512",13,NA
2052612,"HH2052612",13,NA
2052812,"HH2052812",76,"M"
2052912,"HH2052912",8,NA
2053112,"HH2053112",13,NA
2053212,"HH2053212",61,"F"
2053312,"HH2053312",13,NA
2053412,"HH2053412",13,NA
2053512,"HH2053512",8,NA
2053712,"HH2053712",8,NA
2053912,"HH2053912",16,NA
2054012,"HH2054012",13,NA
2054112,"HH2054112",72,"M"
2054212,"HH2054212",64,"F"
2054412,"HH2054412",13,NA
2054512,"HH2054512",16,NA
2054812,"HH2054812",13,NA
2054912,"HH2054912",16,NA
2055212,"HH2055212",8,NA
2055312,"HH2055312",55,"F"
2055412,"HH2055412",NA,NA
2055512,"HH2055512",58,"M"
2055612,"HH2055612",8,NA
2055712,"HH2055712",68,"F"
2055812,"HH2055812",13,NA
2055912,"HH2055912",16,NA
2056012,"HH2056012",8,NA
2056112,"HH2056112",8,NA
2056512,"HH2056512",13,NA
2056612,"HH2056612",8,NA
2056712,"HH2056712",69,"M"
2056912,"HH2056912",8,NA
2057012,"HH2057012",61,"M"
2057112,"HH2057112",72,"M"
2057212,"HH2057212",21,"F"
2057312,"HH2057312",57,"M"
2057512,"HH2057512",58,"M"
2057612,"HH2057612",21,"M"
2057712,"HH2057712",58,"M"
2057912,"HH2057912",69,"M"
2058012,"HH2058012",68,"M"
2058212,"HH2058212",69,"M"
2058412,"HH2058412",18,"F"
2058612,"HH2058612",69,"M"
2058812,"HH2058812",66,"F"
2059212,"HH2059212",16,NA
2059312,"HH2059312",51,"M"
2059412,"HH2059412",59,"F"
2059512,"HH2059512",49,"M"
2059612,"HH2059612",39,"M"
2059712,"HH2059712",63,"F"
2059812,"HH2059812",69,"F"
2059912,"HH2059912",67,"M"
2060112,"HH2060112",13,NA
2060212,"HH2060212",13,NA
2060312,"HH2060312",71,"M"
2060712,"HH2060712",65,"M"
2060812,"HH2060812",70,"M"
2061012,"HH2061012",69,"F"
2061212,"HH2061212",69,"M"
2061412,"HH2061412",69,"F"
2061612,"HH2061612",69,"M"
2061912,"HH2061912",69,"F"
2062012,"HH2062012",13,NA
2062112,"HH2062112",69,"F"
2062212,"HH2062212",70,"M"
2062312,"HH2062312",23,"M"
2062512,"HH2062512",16,NA
2062612,"HH2062612",65,"F"
2062712,"HH2062712",60,"F"
2062812,"HH2062812",80,"M"
2063012,"HH2063012",13,NA
2063212,"HH2063212",66,"M"
2063412,"HH2063412",47,"F"
2063512,"HH2063512",67,"M"
2063812,"HH2063812",8,NA
2063912,"HH2063912",68,"M"
2064112,"HH2064112",70,"F"
2064212,"HH2064212",8,NA
2064412,"HH2064412",13,NA
2064512,"HH2064512",26,"F"
2064612,"HH2064612",68,"M"
2064712,"HH2064712",68,"F"
2064812,"HH2064812",66,"F"
2064912,"HH2064912",24,"F"
2065012,"HH2065012",67,"F"
2065112,"HH2065112",66,"M"
2065312,"HH2065312",68,"M"
2065412,"HH2065412",32,"M"
2065512,"HH2065512",72,"M"
2066412,"HH2066412",2,NA
2066512,"HH2066512",13,NA
2066812,"HH2066812",8,NA
2066912,"HH2066912",16,NA
2067112,"HH2067112",8,NA
2067612,"HH2067612",13,NA
2067912,"HH2067912",13,NA
2068212,"HH2068212",2,NA
2068312,"HH2068312",8,NA
2068712,"HH2068712",13,NA
2068812,"HH2068812",13,NA
2069012,"HH2069012",16,NA
2069312,"HH2069312",46,"F"
2069512,"HH2069512",37,"F"
2069712,"HH2069712",40,"F"
2069812,"HH2069812",34,"M"
2069912,"HH2069912",28,"M"
2070312,"HH2070312",23,"F"
2070512,"HH2070512",37,"M"
2070912,"HH2070912",50,"F"
2071012,"HH2071012",21,"F"
2071212,"HH2071212",25,"M"
2071312,"HH2071312",53,"M"
2071412,"HH2071412",43,"F"
2071612,"HH2071612",46,"M"
2071812,"HH2071812",54,"M"
2071912,"HH2071912",52,"F"
2072112,"HH2072112",29,"F"
2072212,"HH2072212",33,"F"
2072312,"HH2072312",52,"F"
2072412,"HH2072412",48,"M"
2072712,"HH2072712",40,"F"
2072812,"HH2072812",24,"F"
2073112,"HH2073112",43,"F"
2073212,"HH2073212",54,"M"
2073512,"HH2073512",27,"F"
2073612,"HH2073612",39,"M"
2073812,"HH2073812",53,"F"
2073912,"HH2073912",27,"M"
2074212,"HH2074212",41,"M"
2074412,"HH2074412",30,"M"
2074512,"HH2074512",47,"F"
2074812,"HH2074812",29,"F"
2074912,"HH2074912",40,"M"
2075012,"HH2075012",24,"F"
2075112,"HH2075112",45,"M"
2075212,"HH2075212",35,"F"
2075312,"HH2075312",26,"F"
2075512,"HH2075512",25,"F"
2075612,"HH2075612",8,NA
2075712,"HH2075712",20,"F"
2075912,"HH2075912",42,"F"
2076112,"HH2076112",40,"F"
2076212,"HH2076212",38,"F"
2076312,"HH2076312",39,"F"
2076512,"HH2076512",28,"F"
2076612,"HH2076612",22,"F"
2076812,"HH2076812",53,"M"
2077012,"HH2077012",40,"F"
2077312,"HH2077312",20,"F"
2077512,"HH2077512",50,"F"
2077812,"HH2077812",44,"F"
2078112,"HH2078112",8,NA
2078312,"HH2078312",46,"M"
2078412,"HH2078412",20,"M"
2078612,"HH2078612",54,"F"
2078712,"HH2078712",47,"M"
2078812,"HH2078812",52,"M"
2079012,"HH2079012",52,"F"
2079212,"HH2079212",47,"M"
2079512,"HH2079512",54,"F"
2080012,"HH2080012",27,"M"
2080112,"HH2080112",39,"M"
2080212,"HH2080212",46,"M"
2080312,"HH2080312",29,"M"
2080512,"HH2080512",46,"F"
2080612,"HH2080612",49,"M"
2080712,"HH2080712",23,"M"
2080912,"HH2080912",48,"F"
2081412,"HH2081412",25,"F"
2081512,"HH2081512",13,NA
2081612,"HH2081612",53,"M"
2081812,"HH2081812",23,"M"
2082012,"HH2082012",50,"F"
2082112,"HH2082112",45,"M"
2082212,"HH2082212",53,"M"
2082312,"HH2082312",53,"F"
2082412,"HH2082412",49,"M"
2082512,"HH2082512",53,"M"
2082612,"HH2082612",53,"M"
2082712,"HH2082712",48,"F"
2082812,"HH2082812",41,"F"
2083012,"HH2083012",35,"F"
2083112,"HH2083112",51,"M"
2083212,"HH2083212",13,NA
2083312,"HH2083312",26,"F"
2083412,"HH2083412",49,"F"
2083512,"HH2083512",34,"F"
2083712,"HH2083712",39,"F"
2083812,"HH2083812",34,"M"
2083912,"HH2083912",52,"F"
2084112,"HH2084112",32,"M"
2084312,"HH2084312",32,"F"
