part_id,sday_id,day,month,year,dayofweek,wave,holiday
2000112,2020.12.23,23,12,2020,3,12,1
2000312,2020.12.23,23,12,2020,3,12,1
2000412,2020.12.24,24,12,2020,4,12,1
2000512,2020.12.23,23,12,2020,3,12,1
2000912,2020.12.22,22,12,2020,2,12,1
2001312,2020.12.23,23,12,2020,3,12,1
2001712,2020.12.23,23,12,2020,3,12,1
2001812,2020.12.23,23,12,2020,3,12,1
2002312,2020.12.23,23,12,2020,3,12,1
2002612,2020.12.23,23,12,2020,3,12,1
2002812,2020.12.22,22,12,2020,2,12,1
2002912,2020.12.23,23,12,2020,3,12,1
2003012,2020.12.22,22,12,2020,2,12,1
2003112,2020.12.22,22,12,2020,2,12,1
2003412,2020.12.22,22,12,2020,2,12,1
2003512,2020.12.23,23,12,2020,3,12,1
2003712,2020.12.23,23,12,2020,3,12,1
2003812,2020.12.23,23,12,2020,3,12,1
2004012,2021.01.04,4,1,2021,1,12,0
2004112,2020.12.23,23,12,2020,3,12,1
2004512,2020.12.23,23,12,2020,3,12,1
2004712,2020.12.23,23,12,2020,3,12,1
2004912,2020.12.22,22,12,2020,2,12,1
2005012,2020.12.22,22,12,2020,2,12,1
2005312,2020.12.23,23,12,2020,3,12,1
2005512,2020.12.22,22,12,2020,2,12,1
2005612,2020.12.23,23,12,2020,3,12,1
2005712,2020.12.23,23,12,2020,3,12,1
2005812,2020.12.23,23,12,2020,3,12,1
2006212,2020.12.24,24,12,2020,4,12,1
2006512,2020.12.23,23,12,2020,3,12,1
2006912,2020.12.23,23,12,2020,3,12,1
2007012,2020.12.23,23,12,2020,3,12,1
2007212,2020.12.23,23,12,2020,3,12,1
2007312,2020.12.24,24,12,2020,4,12,1
2007412,2020.12.23,23,12,2020,3,12,1
2007512,2020.12.27,27,12,2020,0,12,1
2007612,2020.12.23,23,12,2020,3,12,1
2007712,2020.12.23,23,12,2020,3,12,1
2007912,2020.12.23,23,12,2020,3,12,1
2008012,2020.12.23,23,12,2020,3,12,1
2008112,2020.12.23,23,12,2020,3,12,1
2008212,2020.12.23,23,12,2020,3,12,1
