"part_id","hh_id","part_age","part_gender"
1200101,"HH1200101","[70,120)","M"
1200102,"HH1200102","[70,120)","M"
1200103,"HH1200103","[70,120)","M"
1200104,"HH1200104","[70,120)","M"
1200105,"HH1200105","[70,120)","M"
1200106,"HH1200106","[70,120)","M"
1200107,"HH1200107","[70,120)","M"
1200108,"HH1200108","[70,120)","M"
1200201,"HH1200201","[60,70)","M"
1200202,"HH1200202","[60,70)","M"
1200203,"HH1200203","[60,70)","M"
1200204,"HH1200204","[60,70)","M"
1200205,"HH1200205","[60,70)","M"
1200206,"HH1200206","[60,70)","M"
1200207,"HH1200207","[60,70)","M"
1200208,"HH1200208","[60,70)","M"
1200301,"HH1200301","[70,120)","M"
1200302,"HH1200302","[70,120)","M"
1200303,"HH1200303","[70,120)","M"
1200304,"HH1200304","[70,120)","M"
1200305,"HH1200305","[70,120)","M"
1200306,"HH1200306","[70,120)","M"
1200307,"HH1200307","[70,120)","M"
1200308,"HH1200308","[70,120)","M"
1200401,"HH1200401","[70,120)","M"
1200402,"HH1200402","[70,120)","M"
1200403,"HH1200403","[70,120)","M"
1200404,"HH1200404","[70,120)","M"
1200405,"HH1200405","[70,120)","M"
1200406,"HH1200406","[70,120)","M"
1200408,"HH1200408","[70,120)","M"
1200501,"HH1200501","[60,70)","M"
1200502,"HH1200502","[60,70)","M"
1200503,"HH1200503","[60,70)","M"
1200504,"HH1200504","[60,70)","M"
1200505,"HH1200505","[60,70)","M"
1200506,"HH1200506","[60,70)","M"
1200507,"HH1200507","[60,70)","M"
1200508,"HH1200508","[60,70)","M"
1200601,"HH1200601","[40,50)","F"
1200701,"HH1200701","[70,120)","M"
1200702,"HH1200702","[70,120)","M"
1200703,"HH1200703","[70,120)","M"
1200704,"HH1200704","[70,120)","M"
1200705,"HH1200705","[70,120)","M"
1200706,"HH1200706","[70,120)","M"
1200707,"HH1200707","[70,120)","M"
1200708,"HH1200708","[70,120)","M"
1200801,"HH1200801","[50,60)","M"
1200802,"HH1200802","[50,60)","M"
1200803,"HH1200803","[50,60)","M"
1200804,"HH1200804","[50,60)","M"
1200805,"HH1200805","[50,60)","M"
1200806,"HH1200806","[50,60)","M"
1200807,"HH1200807","[50,60)","M"
1200808,"HH1200808","[50,60)","M"
1200901,"HH1200901","[50,60)","M"
1200902,"HH1200902","[50,60)","M"
1200903,"HH1200903","[50,60)","M"
1200904,"HH1200904","[50,60)","M"
1200905,"HH1200905","[50,60)","M"
1200906,"HH1200906","[50,60)","M"
1200908,"HH1200908","[50,60)","M"
1201001,"HH1201001","[60,70)","M"
1201002,"HH1201002","[60,70)","M"
1201003,"HH1201003","[60,70)","M"
1201004,"HH1201004","[60,70)","M"
1201005,"HH1201005","[60,70)","M"
1201006,"HH1201006","[60,70)","M"
1201007,"HH1201007","[60,70)","M"
1201008,"HH1201008","[60,70)","M"
1201101,"HH1201101","[60,70)","M"
1201102,"HH1201102","[60,70)","M"
1201103,"HH1201103","[60,70)","M"
1201104,"HH1201104","[60,70)","M"
1201105,"HH1201105","[60,70)","M"
1201106,"HH1201106","[60,70)","M"
1201107,"HH1201107","[60,70)","M"
1201108,"HH1201108","[60,70)","M"
1201201,"HH1201201","[50,60)","F"
1201202,"HH1201202","[50,60)","F"
1201203,"HH1201203","[50,60)","F"
1201204,"HH1201204","[50,60)","F"
1201205,"HH1201205","[50,60)","F"
1201206,"HH1201206","[50,60)","F"
1201207,"HH1201207","[50,60)","F"
