"","part_id","frequency_multi","n","cont_id","phys_contact","cnt_age_est_min","cnt_age_est_max","cnt_age_exact"
"1",2000109,"daily",1,200010003,1,55,64,NA
"2",2000110,"daily",1,200010001,1,55,64,NA
"3",2000111,"daily",1,200010002,1,55,64,NA
"4",2000112,"daily",1,200010001,1,55,64,NA
"5",2000114,"daily",1,200010005,1,55,64,NA
"6",2000115,"daily",1,200010006,1,55,64,NA
"7",2000116,"daily",1,200010007,1,55,64,NA
"8",2000118,"daily",1,200010010,1,55,64,NA
"9",2000119,"daily",1,200010015,1,55,64,NA
"10",2000120,"daily",1,200010018,1,55,64,NA
"11",2000121,"daily",1,200010019,1,55,64,NA
"12",2000122,"daily",1,200010020,1,55,64,NA
"13",2000123,"daily",1,200010024,1,55,64,NA
"14",2000124,"daily",1,200010025,1,55,64,NA
"15",2000125,"daily",1,200010028,1,55,64,NA
"110",2000126,"daily",1,200010029,1,55,64,NA
"28",2000126,"monthly",2,200010031,1,45,54,NA
"31",2000126,"monthly",2,200010032,1,45,54,NA
"111",2000127,"daily",1,200010035,1,55,64,NA
"29",2000127,"monthly",1,200010039,1,1,4,NA
"112",2000128,"daily",1,200010044,1,55,64,NA
"113",2000130,"daily",1,200010045,1,55,64,NA
"114",2000131,"daily",1,200010046,1,55,64,NA
"115",2000132,"daily",1,200010049,1,55,64,NA
"116",2000133,"daily",1,200010051,1,55,64,NA
"117",2000134,"daily",1,200010052,1,55,64,NA
"118",2000135,"daily",1,200010055,1,55,64,NA
"119",2000136,"daily",1,200010056,1,55,64,NA
"120",2000138,"daily",1,200010057,1,55,64,NA
"121",2000139,"daily",1,200010058,1,55,64,NA
"122",2000140,"daily",1,200010059,1,55,64,NA
"123",2000141,"daily",1,200010060,1,55,64,NA
"124",2000209,"daily",1,200020005,1,55,64,NA
"125",2000210,"daily",1,200020004,1,55,64,NA
"126",2000211,"daily",1,200020003,1,55,64,NA
"127",2000214,"daily",1,200020001,1,55,64,NA
"128",2000216,"daily",1,200020002,1,55,64,NA
"129",2000218,"daily",1,200020006,1,55,64,NA
"130",2000219,"daily",1,200020008,1,55,64,NA
"131",2000220,"daily",1,200020011,1,55,64,NA
"132",2000221,"daily",1,200020013,1,55,64,NA
"133",2000222,"daily",1,200020016,1,55,64,NA
"134",2000223,"daily",1,200020018,1,55,64,NA
"135",2000224,"daily",1,200020021,1,55,64,NA
"136",2000226,"a few times a year",1,200020029,1,55,64,NA
"210",2000226,"daily",1,200020027,1,55,64,NA
"137",2000228,"daily",1,200020030,1,55,64,NA
"138",2000231,"daily",1,200020031,1,55,64,NA
"139",2000234,"daily",1,200020040,1,55,64,NA
"140",2000235,"daily",1,200020047,1,55,64,NA
"141",2000237,"daily",1,200020049,1,55,64,NA
"211",2000237,"first time",2,200020056,1,65,69,NA
"32",2000237,"first time",2,200020057,1,55,64,NA
"142",2000238,"daily",1,200020058,1,55,64,NA
"143",2000239,"daily",1,200020064,1,55,64,NA
"144",2000240,"daily",1,200020070,1,25,34,NA
"145",2000241,"daily",1,200020076,1,55,64,NA
"146",2000409,"daily",1,200040001,1,55,64,NA
"147",2000410,"daily",1,200040002,1,55,64,NA
"148",2000411,"daily",1,200040003,1,55,64,NA
"149",2000412,"daily",1,200040001,1,55,64,NA
"150",2000418,"daily",1,200040002,1,55,64,NA
"151",2000419,"daily",1,200040003,1,55,64,NA
"152",2000420,"daily",1,200040008,1,55,64,NA
"153",2000421,"daily",1,200040010,1,55,64,NA
"154",2000423,"daily",1,200040012,1,55,64,NA
"155",2000424,"daily",1,200040013,1,55,64,NA
"156",2000426,"daily",1,200040014,1,55,64,NA
"212",2000426,"monthly",1,200040017,1,1,4,NA
"157",2000427,"daily",1,200040018,1,55,64,NA
"158",2000428,"daily",1,200040019,1,55,64,NA
"213",2000428,"monthly",2,200040020,1,1,4,NA
"33",2000428,"monthly",2,200040021,1,1,4,NA
"159",2000430,"daily",1,200040030,1,55,64,NA
"214",2000430,"monthly",2,200040034,1,1,4,NA
"34",2000430,"monthly",2,200040033,1,1,4,NA
"160",2000431,"daily",1,200040035,1,55,64,NA
"161",2000432,"daily",1,200040039,1,55,64,NA
"162",2000435,"daily",1,200040040,1,55,64,NA
"163",2000436,"daily",1,200040050,1,55,64,NA
"164",2000437,"daily",1,200040051,1,55,64,NA
"165",2000512,"daily",1,200050001,1,45,54,NA
"166",2000513,"daily",1,200050003,1,45,54,NA
"167",2000515,"daily",1,200050004,1,45,54,NA
