"","geo","part_age_cat","n","prop"
"1","BE","Children",1683376,0.14696795906141
"2","BE","Teens",759267,0.0662881741052977
"3","BE","Adult",6977094,0.609138579473398
"4","BE","Elderly",2034297,0.177605287359894
"5","DE","Children",9803433,0.118106188568038
"6","DE","Teens",4629757,0.0557766808082632
"7","DE","Adult",51696791,0.622813553803902
"8","DE","Elderly",16875263,0.203303576819797
"9","FI","Children",761691,0.13806178324207
"10","FI","Teens",356000,0.064527472208779
"11","FI","Adult",3266850,0.592139248834971
"12","FI","Elderly",1132489,0.20527149571418
"13","IT","Children",6735684,0.112632070266044
"14","IT","Teens",3424344,0.0572608444848522
"15","IT","Adult",36662117,0.613052829979248
"16","IT","Elderly",12980396,0.217054255269856
"17","LU","Children",85659,0.13954954588034
"18","LU","Teens",39236,0.06392049851342
"19","LU","Adult",406513,0.662262045371238
"20","LU","Elderly",82417,0.134267910235002
"21","NL","Children",2350233,0.136009058809926
"22","NL","Teens",1224136,0.0708413102936382
"23","NL","Adult",10598502,0.613340158960887
"24","NL","Elderly",3107103,0.179809471935548
"25","PL","Children",5115512,0.134734438268146
"26","PL","Teens",2152370,0.0566899975789736
"27","PL","Adult",24516699,0.645730802303705
"28","PL","Elderly",6182787,0.162844761849175
"29","GB","Children",10437313,0.156636940507211
"30","GB","Teens",4394003,0.0659425645757205
"31","GB","Adult",40235409,0.603828913228559
"32","GB","Elderly",11567065,0.17359158168851
