DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,F,BE,2019,58977,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,F,DE,2019,388013,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,F,FI,2019,24938,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,F,IT,2019,221360,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,F,LU,2019,3145,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,F,NL,2019,83170,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,F,PL,2019,196578,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,F,UK,2019,370447,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,M,BE,2019,61619,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,M,DE,2019,408361,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,M,FI,2019,25996,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,M,IT,2019,234386,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,M,LU,2019,3288,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,M,NL,2019,87646,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,M,PL,2019,207237,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y1,M,UK,2019,390147,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,F,BE,2019,65982,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,F,DE,2019,363004,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,F,FI,2019,30352,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,F,IT,2019,276854,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,F,LU,2019,3238,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,F,NL,2019,92558,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,F,PL,2019,208065,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,F,UK,2019,398123,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,M,BE,2019,69683,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,M,DE,2019,383341,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,M,FI,2019,31674,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,M,IT,2019,292417,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,M,LU,2019,3396,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,M,NL,2019,97532,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,M,PL,2019,218300,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y10,M,UK,2019,417712,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,F,BE,2019,65037,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,F,DE,2019,359949,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,F,FI,2019,29928,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,F,IT,2019,275360,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,F,LU,2019,3257,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,F,NL,2019,91341,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,F,PL,2019,194410,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,F,UK,2019,392535,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,M,BE,2019,67890,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,M,DE,2019,381581,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,M,FI,2019,31451,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,M,IT,2019,292452,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,M,LU,2019,3293,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,M,NL,2019,95272,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,M,PL,2019,204564,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y11,M,UK,2019,413034,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,F,BE,2019,64721,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,F,DE,2019,352344,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,F,FI,2019,30126,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,F,IT,2019,275337,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,F,LU,2019,3175,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,F,NL,2019,92526,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,F,PL,2019,184594,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,F,UK,2019,382201,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,M,BE,2019,67302,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,M,DE,2019,374579,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,M,FI,2019,31464,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,M,IT,2019,293239,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,M,LU,2019,3353,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,M,NL,2019,97500,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,M,PL,2019,194381,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y12,M,UK,2019,402155,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,F,BE,2019,62831,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,F,DE,2019,357392,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,F,FI,2019,29569,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,F,IT,2019,273470,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,F,LU,2019,3048,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,F,NL,2019,93660,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,F,PL,2019,177879,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,F,UK,2019,371684,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,M,BE,2019,66106,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,M,DE,2019,378368,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,M,FI,2019,30624,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,M,IT,2019,291565,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,M,LU,2019,3408,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,M,NL,2019,98249,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,M,PL,2019,187008,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y13,M,UK,2019,390096,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,F,BE,2019,61950,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,F,DE,2019,365061,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,F,FI,2019,29381,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,F,IT,2019,277332,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,F,LU,2019,3141,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,F,NL,2019,96699,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,F,PL,2019,171812,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,F,UK,2019,361295,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,M,BE,2019,65303,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,M,DE,2019,386561,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,M,FI,2019,30969,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,M,IT,2019,293836,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,M,LU,2019,3351,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,M,NL,2019,100978,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,M,PL,2019,181580,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y14,M,UK,2019,379560,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,F,BE,2019,60742,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,F,DE,2019,364913,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,F,FI,2019,29027,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,F,IT,2019,274845,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,F,LU,2019,3034,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,F,NL,2019,99652,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,F,PL,2019,169208,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,F,UK,2019,353039,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,M,BE,2019,63507,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,M,DE,2019,387438,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,M,FI,2019,30095,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,M,IT,2019,292016,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,M,LU,2019,3309,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,M,NL,2019,104654,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,M,PL,2019,177973,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y15,M,UK,2019,371895,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,F,BE,2019,60184,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,F,DE,2019,370583,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,F,FI,2019,28274,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,F,IT,2019,273141,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,F,LU,2019,3076,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,F,NL,2019,100355,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,F,PL,2019,170691,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,F,UK,2019,345407,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,M,BE,2019,63533,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,M,DE,2019,395934,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,M,FI,2019,29833,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,M,IT,2019,290476,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,M,LU,2019,3338,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,M,NL,2019,105283,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,M,PL,2019,179954,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y16,M,UK,2019,364712,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,F,BE,2019,61436,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,F,DE,2019,378876,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,F,FI,2019,28646,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,F,IT,2019,275663,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,F,LU,2019,3223,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,F,NL,2019,101393,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,F,PL,2019,176980,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,F,UK,2019,348955,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,BE,2019,64534,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,DE,2019,408869,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,FI,2019,29982,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,IT,2019,295127,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,LU,2019,3292,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,NL,2019,106599,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,PL,2019,186263,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,UK,2019,367655,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,BE,2019,62760,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,DE,2019,399834,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,FI,2019,28774,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,IT,2019,280805,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,LU,2019,3382,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,NL,2019,106032,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,PL,2019,181867,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,UK,2019,359623,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,BE,2019,66381,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,DE,2019,435928,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,FI,2019,30826,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,IT,2019,306068,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,LU,2019,3634,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,NL,2019,110582,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,PL,2019,191155,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,UK,2019,380082,
