id,foi,wave
1,0.0748,26
2,0.0748,26
3,0.0748,26
4,0.0748,26
5,0.0748,26
6,0.0748,26
7,0.0748,26
8,0.0748,26
9,0.0748,26
10,0.0748,26
11,0.0748,26
12,0.0748,26
13,0.0748,26
14,0.0748,26
15,0.0748,26
16,0.0748,26
17,0.0748,26
18,0.0748,26
19,0.0748,26
20,0.0748,26
21,0.0748,26
22,0.0748,26
23,0.0748,26
24,0.0748,26
25,0.0748,26
26,0.0748,26
27,0.0748,26
28,0.0748,26
29,0.0748,26
30,0.0748,26
31,0.0748,26
32,0.0748,26
33,0.0748,26
34,0.0748,26
35,0.0748,26
36,0.0748,26
37,0.0748,26
38,0.0748,26
39,0.0748,26
40,0.0748,26
41,0.0748,26
42,0.0748,26
43,0.0748,26
44,0.0748,26
45,0.0748,26
46,0.0748,26
47,0.0748,26
48,0.0748,26
49,0.0748,26
50,0.0748,26
51,0.0748,26
52,0.0748,26
53,0.0748,26
54,0.0748,26
55,0.0748,26
56,0.0748,26
57,0.0748,26
58,0.0748,26
59,0.0748,26
60,0.0748,26
61,0.0748,26
62,0.0748,26
63,0.0748,26
64,0.0748,26
65,0.0748,26
66,0.0748,26
67,0.0748,26
68,0.0748,26
69,0.0748,26
70,0.0748,26
71,0.0748,26
72,0.0748,26
73,0.0748,26
74,0.0748,26
75,0.0748,26
76,0.0748,26
77,0.0748,26
78,0.0748,26
79,0.0748,26
80,0.0748,26
81,0.0748,26
82,0.0748,26
83,0.0748,26
84,0.0748,26
85,0.0748,26
86,0.0748,26
87,0.0748,26
88,0.0748,26
89,0.0748,26
90,0.0748,26
91,0.0748,26
92,0.0748,26
93,0.0748,26
94,0.0748,26
95,0.0748,26
96,0.0748,26
97,0.0748,26
98,0.0748,26
99,0.0748,26
100,0.0748,26
101,0.0748,26
102,0.0748,26
103,0.0748,26
104,0.0748,26
105,0.0748,26
106,0.0748,26
107,0.0748,26
108,0.0748,26
109,0.0748,26
110,0.0748,26
111,0.0748,26
112,0.0748,26
113,0.0748,26
114,0.0748,26
115,0.0748,26
116,0.0748,26
117,0.0748,26
118,0.0748,26
119,0.0748,26
120,0.0748,26
121,0.0748,26
122,0.0748,26
123,0.0748,26
124,0.0748,26
125,0.0748,26
126,0.0748,26
127,0.0748,26
128,0.0748,26
129,0.0748,26
130,0.0748,26
131,0.0748,26
132,0.0748,26
133,0.0748,26
134,0.0748,26
135,0.0748,26
136,0.0748,26
137,0.0748,26
138,0.0748,26
139,0.0748,26
140,0.0748,26
141,0.0748,26
142,0.0748,26
143,0.0748,26
144,0.0748,26
145,0.0748,26
146,0.0748,26
147,0.0748,26
148,0.0748,26
149,0.0748,26
150,0.0748,26
151,0.0748,26
152,0.0748,26
153,0.0748,26
154,0.0748,26
155,0.0748,26
156,0.0748,26
157,0.0748,26
158,0.0748,26
159,0.0748,26
160,0.0748,26
161,0.0748,26
162,0.0748,26
163,0.0748,26
164,0.0748,26
165,0.0748,26
166,0.0748,26
167,0.0748,26
168,0.0748,26
169,0.0748,26
170,0.0748,26
171,0.0748,26
172,0.0748,26
173,0.0748,26
174,0.0748,26
175,0.0748,26
176,0.0748,26
177,0.0748,26
178,0.0748,26
179,0.0748,26
180,0.0748,26
181,0.0748,26
182,0.0748,26
183,0.0748,26
184,0.0748,26
185,0.0748,26
186,0.0748,26
187,0.0748,26
188,0.0748,26
189,0.0748,26
190,0.0748,26
191,0.0748,26
192,0.0748,26
193,0.0748,26
194,0.0748,26
195,0.0748,26
196,0.0748,26
197,0.0748,26
198,0.0748,26
199,0.0748,26
200,0.0748,26
201,0.0748,26
202,0.0748,26
203,0.0748,26
204,0.0748,26
205,0.0748,26
206,0.0748,26
207,0.0748,26
208,0.0748,26
209,0.0748,26
210,0.0748,26
211,0.0748,26
212,0.0748,26
213,0.0748,26
214,0.0748,26
215,0.0748,26
216,0.0748,26
217,0.0748,26
218,0.0748,26
219,0.0748,26
220,0.0748,26
221,0.0748,26
222,0.0748,26
223,0.0748,26
224,0.0748,26
225,0.0748,26
226,0.0748,26
227,0.0748,26
228,0.0748,26
229,0.0748,26
230,0.0748,26
231,0.0748,26
232,0.0748,26
233,0.0748,26
234,0.0748,26
235,0.0748,26
236,0.0748,26
237,0.0748,26
238,0.0748,26
239,0.0748,26
240,0.0748,26
241,0.0748,26
242,0.0748,26
243,0.0748,26
244,0.0748,26
245,0.0748,26
246,0.0748,26
247,0.0748,26
248,0.0748,26
249,0.0748,26
250,0.0748,26
251,0.0748,26
252,0.0748,26
253,0.0748,26
254,0.0748,26
255,0.0748,26
256,0.0748,26
257,0.0748,26
258,0.0748,26
259,0.0748,26
260,0.0748,26
261,0.0748,26
262,0.0748,26
263,0.0748,26
264,0.0748,26
265,0.0748,26
266,0.0748,26
267,0.0748,26
268,0.0748,26
269,0.0748,26
270,0.0748,26
271,0.0748,26
272,0.0748,26
273,0.0748,26
274,0.0748,26
275,0.0748,26
276,0.0748,26
277,0.0748,26
278,0.0748,26
279,0.0748,26
280,0.0748,26
281,0.0748,26
282,0.0748,26
283,0.0748,26
284,0.0748,26
285,0.0748,26
286,0.0748,26
287,0.0748,26
288,0.0748,26
289,0.0748,26
290,0.0748,26
291,0.0748,26
292,0.0748,26
293,0.0748,26
294,0.0748,26
295,0.0748,26
296,0.0748,26
297,0.0748,26
298,0.0748,26
299,0.0748,26
300,0.0748,26
301,0.0748,26
302,0.0748,26
303,0.0748,26
304,0.0748,26
305,0.0748,26
306,0.0748,26
307,0.0748,26
308,0.0748,26
309,0.0748,26
310,0.0748,26
311,0.0748,26
312,0.0748,26
313,0.0748,26
314,0.0748,26
315,0.0748,26
316,0.0748,26
317,0.0748,26
318,0.0748,26
319,0.0748,26
320,0.0748,26
321,0.0748,26
322,0.0748,26
323,0.0748,26
324,0.0748,26
325,0.0748,26
326,0.0748,26
327,0.0748,26
328,0.0748,26
329,0.0748,26
330,0.0748,26
331,0.0748,26
332,0.0748,26
333,0.0748,26
334,0.0748,26
335,0.0748,26
336,0.0748,26
337,0.0748,26
338,0.0748,26
339,0.0748,26
340,0.0748,26
341,0.0748,26
342,0.0748,26
343,0.0748,26
344,0.0748,26
345,0.0748,26
346,0.0748,26
347,0.0748,26
348,0.0748,26
349,0.0748,26
350,0.0748,26
351,0.0748,26
352,0.0748,26
353,0.0748,26
354,0.0748,26
355,0.0748,26
356,0.0748,26
357,0.0748,26
358,0.0748,26
359,0.0748,26
360,0.0748,26
361,0.0748,26
362,0.0748,26
363,0.0748,26
364,0.0748,26
365,0.0748,26
366,0.0748,26
367,0.0748,26
368,0.0748,26
369,0.0748,26
370,0.0748,26
371,0.0748,26
372,0.0748,26
373,0.0748,26
374,0.0748,26
375,0.0748,26
376,0.0748,26
377,0.0748,26
378,0.0748,26
379,0.0748,26
380,0.0748,26
381,0.0748,26
382,0.0748,26
383,0.0748,26
384,0.0748,26
385,0.0748,26
386,0.0748,26
387,0.0748,26
388,0.0748,26
389,0.0748,26
390,0.0748,26
391,0.0748,26
392,0.0748,26
393,0.0748,26
394,0.0748,26
395,0.0748,26
396,0.0748,26
397,0.0748,26
398,0.0748,26
399,0.0748,26
400,0.0748,26
401,0.0748,26
402,0.0748,26
403,0.0748,26
404,0.0748,26
405,0.0748,26
406,0.0748,26
407,0.0748,26
408,0.0748,26
409,0.0748,26
410,0.0748,26
411,0.0748,26
412,0.0748,26
413,0.0748,26
414,0.0748,26
415,0.0748,26
416,0.0748,26
417,0.0748,26
418,0.0748,26
419,0.0748,26
420,0.0748,26
421,0.0748,26
422,0.0748,26
423,0.0748,26
424,0.0748,26
425,0.0748,26
426,0.0748,26
427,0.0748,26
428,0.0748,26
429,0.0748,26
430,0.0748,26
431,0.0748,26
432,0.0748,26
433,0.0748,26
434,0.0748,26
435,0.0748,26
436,0.0748,26
437,0.0748,26
438,0.0748,26
439,0.0748,26
440,0.0748,26
441,0.0748,26
442,0.0748,26
443,0.0748,26
444,0.0748,26
445,0.0748,26
446,0.0748,26
447,0.0748,26
448,0.0748,26
449,0.0748,26
450,0.0748,26
