id,foi,R0,wave
1,0.1558,1,27
2,0.1558,1,27
3,0.1558,1,27
4,0.1558,1,27
5,0.1558,1,27
6,0.1558,1,27
7,0.1558,1,27
8,0.1558,1,27
9,0.1558,1,27
10,0.1558,1,27
11,0.1558,1,27
12,0.1558,1,27
13,0.1558,1,27
14,0.1558,1,27
15,0.1558,1,27
16,0.1558,1,27
17,0.1558,1,27
18,0.1558,1,27
19,0.1558,1,27
20,0.1558,1,27
21,0.1558,1,27
22,0.1558,1,27
23,0.1558,1,27
24,0.1558,1,27
25,0.1558,1,27
26,0.1558,1,27
27,0.1558,1,27
28,0.1558,1,27
29,0.1558,1,27
30,0.1558,1,27
31,0.1558,1,27
32,0.1558,1,27
33,0.1558,1,27
34,0.1558,1,27
35,0.1558,1,27
36,0.1558,1,27
37,0.1558,1,27
38,0.1558,1,27
39,0.1558,1,27
40,0.1558,1,27
41,0.1558,1,27
42,0.1558,1,27
43,0.1558,1,27
44,0.1558,1,27
45,0.1558,1,27
46,0.1558,1,27
47,0.1558,1,27
48,0.1558,1,27
49,0.1558,1,27
50,0.1558,1,27
51,0.1558,1,27
52,0.1558,1,27
53,0.1558,1,27
54,0.1558,1,27
55,0.1558,1,27
56,0.1558,1,27
57,0.1558,1,27
58,0.1558,1,27
59,0.1558,1,27
60,0.1558,1,27
61,0.1558,1,27
62,0.1558,1,27
63,0.1558,1,27
64,0.1558,1,27
65,0.1558,1,27
66,0.1558,1,27
67,0.1558,1,27
68,0.1558,1,27
69,0.1558,1,27
70,0.1558,1,27
71,0.1558,1,27
72,0.1558,1,27
73,0.1558,1,27
74,0.1558,1,27
75,0.1558,1,27
76,0.1558,1,27
77,0.1558,1,27
78,0.1558,1,27
79,0.1558,1,27
80,0.1558,1,27
81,0.1558,1,27
82,0.1558,1,27
83,0.1558,1,27
84,0.1558,1,27
85,0.1558,1,27
86,0.1558,1,27
87,0.1558,1,27
88,0.1558,1,27
89,0.1558,1,27
90,0.1558,1,27
91,0.1558,1,27
92,0.1558,1,27
93,0.1558,1,27
94,0.1558,1,27
95,0.1558,1,27
96,0.1558,1,27
97,0.1558,1,27
98,0.1558,1,27
99,0.1558,1,27
100,0.1558,1,27
101,0.1558,1,27
102,0.1558,1,27
103,0.1558,1,27
104,0.1558,1,27
105,0.1558,1,27
106,0.1558,1,27
107,0.1558,1,27
108,0.1558,1,27
109,0.1558,1,27
110,0.1558,1,27
111,0.1558,1,27
112,0.1558,1,27
113,0.1558,1,27
114,0.1558,1,27
115,0.1558,1,27
116,0.1558,1,27
117,0.1558,1,27
118,0.1558,1,27
119,0.1558,1,27
120,0.1558,1,27
121,0.1558,1,27
122,0.1558,1,27
123,0.1558,1,27
124,0.1558,1,27
125,0.1558,1,27
126,0.1558,1,27
127,0.1558,1,27
128,0.1558,1,27
129,0.1558,1,27
130,0.1558,1,27
131,0.1558,1,27
132,0.1558,1,27
133,0.1558,1,27
134,0.1558,1,27
135,0.1558,1,27
136,0.1558,1,27
137,0.1558,1,27
138,0.1558,1,27
139,0.1558,1,27
140,0.1558,1,27
141,0.1558,1,27
142,0.1558,1,27
