id,foi,gamma_num,gamma
1,0.0091,12,0.0833
2,0.0091,12,0.0833
3,0.0091,12,0.0833
4,0.0091,12,0.0833
5,0.0091,12,0.0833
6,0.0091,12,0.0833
7,0.0091,12,0.0833
8,0.0091,12,0.0833
9,0.0091,12,0.0833
10,0.0091,12,0.0833
11,0.0091,12,0.0833
12,0.0091,12,0.0833
13,0.0091,12,0.0833
14,0.0091,12,0.0833
15,0.0091,12,0.0833
16,0.0091,12,0.0833
17,0.0091,12,0.0833
18,0.0091,12,0.0833
19,0.0091,12,0.0833
20,0.0091,12,0.0833
21,0.0091,12,0.0833
22,0.0091,12,0.0833
23,0.0091,12,0.0833
24,0.0091,12,0.0833
25,0.0091,12,0.0833
26,0.0091,12,0.0833
27,0.0091,12,0.0833
28,0.0091,12,0.0833
29,0.0091,12,0.0833
30,0.0091,12,0.0833
31,0.0091,12,0.0833
32,0.0091,12,0.0833
33,0.0091,12,0.0833
34,0.0091,12,0.0833
35,0.0091,12,0.0833
36,0.0091,12,0.0833
37,0.0091,12,0.0833
38,0.0091,12,0.0833
39,0.0091,12,0.0833
40,0.0091,12,0.0833
41,0.0091,12,0.0833
42,0.0091,12,0.0833
43,0.0091,12,0.0833
44,0.0091,12,0.0833
45,0.0091,12,0.0833
46,0.0091,12,0.0833
47,0.0091,12,0.0833
48,0.0091,12,0.0833
49,0.0091,12,0.0833
50,0.0091,12,0.0833
51,0.0091,12,0.0833
52,0.0091,12,0.0833
53,0.0091,12,0.0833
54,0.0091,12,0.0833
55,0.0091,12,0.0833
56,0.0091,12,0.0833
57,0.0091,12,0.0833
58,0.0091,12,0.0833
59,0.0091,12,0.0833
60,0.0091,12,0.0833
61,0.0091,12,0.0833
62,0.0091,12,0.0833
63,0.0091,12,0.0833
64,0.0091,12,0.0833
65,0.0091,12,0.0833
66,0.0091,12,0.0833
67,0.0091,12,0.0833
68,0.0091,12,0.0833
69,0.0091,12,0.0833
70,0.0091,12,0.0833
71,0.0091,12,0.0833
72,0.0091,12,0.0833
73,0.0091,12,0.0833
74,0.0091,12,0.0833
75,0.0091,12,0.0833
76,0.0091,12,0.0833
77,0.0091,12,0.0833
78,0.0091,12,0.0833
79,0.0091,12,0.0833
80,0.0091,12,0.0833
81,0.0091,12,0.0833
82,0.0091,12,0.0833
83,0.0091,12,0.0833
84,0.0091,12,0.0833
85,0.0091,12,0.0833
86,0.0091,12,0.0833
87,0.0091,12,0.0833
88,0.0091,12,0.0833
89,0.0091,12,0.0833
90,0.0091,12,0.0833
91,0.0091,12,0.0833
92,0.0091,12,0.0833
93,0.0091,12,0.0833
94,0.0091,12,0.0833
95,0.0091,12,0.0833
96,0.0091,12,0.0833
97,0.0091,12,0.0833
98,0.0091,12,0.0833
99,0.0091,12,0.0833
100,0.0091,12,0.0833
101,0.0091,12,0.0833
102,0.0091,12,0.0833
103,0.0091,12,0.0833
104,0.0091,12,0.0833
105,0.0091,12,0.0833
106,0.0091,12,0.0833
107,0.0091,12,0.0833
108,0.0091,12,0.0833
109,0.0091,12,0.0833
110,0.0091,12,0.0833
111,0.0091,12,0.0833
112,0.0091,12,0.0833
113,0.0091,12,0.0833
114,0.0091,12,0.0833
115,0.0091,12,0.0833
116,0.0091,12,0.0833
117,0.0091,12,0.0833
118,0.0091,12,0.0833
119,0.0091,12,0.0833
120,0.0091,12,0.0833
121,0.0091,12,0.0833
122,0.0091,12,0.0833
123,0.0091,12,0.0833
124,0.0091,12,0.0833
125,0.0091,12,0.0833
126,0.0091,12,0.0833
127,0.0091,12,0.0833
