id,foi,gamma_num,gamma
1,0.0131,14,0.0714
2,0.0131,14,0.0714
3,0.0131,14,0.0714
4,0.0131,14,0.0714
5,0.0131,14,0.0714
6,0.0131,14,0.0714
7,0.0131,14,0.0714
8,0.0131,14,0.0714
9,0.0131,14,0.0714
10,0.0131,14,0.0714
11,0.0131,14,0.0714
12,0.0131,14,0.0714
13,0.0131,14,0.0714
14,0.0131,14,0.0714
15,0.0131,14,0.0714
16,0.0131,14,0.0714
17,0.0131,14,0.0714
18,0.0131,14,0.0714
19,0.0131,14,0.0714
20,0.0131,14,0.0714
21,0.0131,14,0.0714
22,0.0131,14,0.0714
23,0.0131,14,0.0714
24,0.0131,14,0.0714
25,0.0131,14,0.0714
26,0.0131,14,0.0714
27,0.0131,14,0.0714
28,0.0131,14,0.0714
29,0.0131,14,0.0714
30,0.0131,14,0.0714
31,0.0131,14,0.0714
32,0.0131,14,0.0714
33,0.0131,14,0.0714
34,0.0131,14,0.0714
35,0.0131,14,0.0714
36,0.0131,14,0.0714
37,0.0131,14,0.0714
38,0.0131,14,0.0714
39,0.0131,14,0.0714
40,0.0131,14,0.0714
41,0.0131,14,0.0714
42,0.0131,14,0.0714
43,0.0131,14,0.0714
44,0.0131,14,0.0714
45,0.0131,14,0.0714
46,0.0131,14,0.0714
47,0.0131,14,0.0714
48,0.0131,14,0.0714
49,0.0131,14,0.0714
50,0.0131,14,0.0714
51,0.0131,14,0.0714
52,0.0131,14,0.0714
53,0.0131,14,0.0714
54,0.0131,14,0.0714
55,0.0131,14,0.0714
56,0.0131,14,0.0714
57,0.0131,14,0.0714
58,0.0131,14,0.0714
59,0.0131,14,0.0714
60,0.0131,14,0.0714
61,0.0131,14,0.0714
62,0.0131,14,0.0714
63,0.0131,14,0.0714
64,0.0131,14,0.0714
65,0.0131,14,0.0714
66,0.0131,14,0.0714
67,0.0131,14,0.0714
68,0.0131,14,0.0714
69,0.0131,14,0.0714
70,0.0131,14,0.0714
71,0.0131,14,0.0714
72,0.0131,14,0.0714
73,0.0131,14,0.0714
74,0.0131,14,0.0714
75,0.0131,14,0.0714
76,0.0131,14,0.0714
77,0.0131,14,0.0714
78,0.0131,14,0.0714
79,0.0131,14,0.0714
80,0.0131,14,0.0714
81,0.0131,14,0.0714
82,0.0131,14,0.0714
83,0.0131,14,0.0714
84,0.0131,14,0.0714
85,0.0131,14,0.0714
86,0.0131,14,0.0714
87,0.0131,14,0.0714
88,0.0131,14,0.0714
89,0.0131,14,0.0714
90,0.0131,14,0.0714
91,0.0131,14,0.0714
92,0.0131,14,0.0714
93,0.0131,14,0.0714
94,0.0131,14,0.0714
95,0.0131,14,0.0714
96,0.0131,14,0.0714
97,0.0131,14,0.0714
98,0.0131,14,0.0714
99,0.0131,14,0.0714
100,0.0131,14,0.0714
101,0.0131,14,0.0714
102,0.0131,14,0.0714
103,0.0131,14,0.0714
104,0.0131,14,0.0714
105,0.0131,14,0.0714
106,0.0131,14,0.0714
107,0.0131,14,0.0714
108,0.0131,14,0.0714
109,0.0131,14,0.0714
110,0.0131,14,0.0714
111,0.0131,14,0.0714
112,0.0131,14,0.0714
113,0.0131,14,0.0714
114,0.0131,14,0.0714
115,0.0131,14,0.0714
116,0.0131,14,0.0714
117,0.0131,14,0.0714
118,0.0131,14,0.0714
119,0.0131,14,0.0714
120,0.0131,14,0.0714
121,0.0131,14,0.0714
122,0.0131,14,0.0714
123,0.0131,14,0.0714
124,0.0131,14,0.0714
125,0.0131,14,0.0714
126,0.0131,14,0.0714
127,0.0131,14,0.0714
128,0.0131,14,0.0714
129,0.0131,14,0.0714
130,0.0131,14,0.0714
131,0.0131,14,0.0714
132,0.0131,14,0.0714
133,0.0131,14,0.0714
134,0.0131,14,0.0714
135,0.0131,14,0.0714
136,0.0131,14,0.0714
137,0.0131,14,0.0714
138,0.0131,14,0.0714
139,0.0131,14,0.0714
140,0.0131,14,0.0714
141,0.0131,14,0.0714
142,0.0131,14,0.0714
143,0.0131,14,0.0714
144,0.0131,14,0.0714
145,0.0131,14,0.0714
146,0.0131,14,0.0714
147,0.0131,14,0.0714
148,0.0131,14,0.0714
149,0.0131,14,0.0714
150,0.0131,14,0.0714
151,0.0131,14,0.0714
152,0.0131,14,0.0714
153,0.0131,14,0.0714
154,0.0131,14,0.0714
155,0.0131,14,0.0714
156,0.0131,14,0.0714
157,0.0131,14,0.0714
158,0.0131,14,0.0714
159,0.0131,14,0.0714
160,0.0131,14,0.0714
161,0.0131,14,0.0714
162,0.0131,14,0.0714
163,0.0131,14,0.0714
164,0.0131,14,0.0714
165,0.0131,14,0.0714
166,0.0131,14,0.0714
167,0.0131,14,0.0714
168,0.0131,14,0.0714
169,0.0131,14,0.0714
170,0.0131,14,0.0714
171,0.0131,14,0.0714
172,0.0131,14,0.0714
173,0.0131,14,0.0714
174,0.0131,14,0.0714
175,0.0131,14,0.0714
176,0.0131,14,0.0714
177,0.0131,14,0.0714
178,0.0131,14,0.0714
179,0.0131,14,0.0714
180,0.0131,14,0.0714
181,0.0131,14,0.0714
182,0.0131,14,0.0714
183,0.0131,14,0.0714
184,0.0131,14,0.0714
185,0.0131,14,0.0714
186,0.0131,14,0.0714
187,0.0131,14,0.0714
188,0.0131,14,0.0714
189,0.0131,14,0.0714
190,0.0131,14,0.0714
191,0.0131,14,0.0714
192,0.0131,14,0.0714
193,0.0131,14,0.0714
194,0.0131,14,0.0714
195,0.0131,14,0.0714
196,0.0131,14,0.0714
197,0.0131,14,0.0714
198,0.0131,14,0.0714
199,0.0131,14,0.0714
200,0.0131,14,0.0714
201,0.0131,14,0.0714
202,0.0131,14,0.0714
203,0.0131,14,0.0714
204,0.0131,14,0.0714
205,0.0131,14,0.0714
206,0.0131,14,0.0714
207,0.0131,14,0.0714
208,0.0131,14,0.0714
209,0.0131,14,0.0714
210,0.0131,14,0.0714
211,0.0131,14,0.0714
212,0.0131,14,0.0714
213,0.0131,14,0.0714
214,0.0131,14,0.0714
215,0.0131,14,0.0714
